id	Раздел	Отображаемая строка	Ожидаемый ответ
1	№12 (НЕ/НИ слитно и раздельно)	Тимохин с испугом и (НЕ)ДОУМЕНИЕМ посмотрел на своего командира.	недоумением
2	№12 (НЕ/НИ слитно и раздельно)	В саду (НЕ)СЛЫШНО голосов птиц.	не слышно
3	№12 (НЕ/НИ слитно и раздельно)	Поэт остро ощущал трагическое (НЕ)УСТРОЙСТВО современной ему жизни.	неустройство
4	№12 (НЕ/НИ слитно и раздельно)	Если бы мы (НЕ)ДОГЛЯДЕЛИ, лодка наполнилась бы водой.	недоглядели
5	№12 (НЕ/НИ слитно и раздельно)	Мне (НЕ)(С)КЕМ было поделиться своими сомнениями.	не с кем
6	№12 (НЕ/НИ слитно и раздельно)	(НЕ)ПОДАЛЁКУ от речки расположились санатории.	неподалёку
7	№12 (НЕ/НИ слитно и раздельно)	Я думал о том, что говорящий вовсе (НЕ)ПРАВ.	не прав
8	№12 (НЕ/НИ слитно и раздельно)	(НЕ)СЧАСТЬЕ чаще объединяет людей, а беда.	не счастье
9	№12 (НЕ/НИ слитно и раздельно)	(НЕ)ДАЛЕКО от леса есть уютные домики.	недалеко
10	№12 (НЕ/НИ слитно и раздельно)	Наша задача (НЕ)МЕНЕЕ существенная, чем ваша.	не менее
11	№12 (НЕ/НИ слитно и раздельно)	Дом был (НЕ)БОЛЬШОЙ, но уютный.	небольшой
12	№12 (НЕ/НИ слитно и раздельно)	(НЕ)УДАЧА расстроила его, а успех, пришедший вскоре, окрылил.	неудача
13	№12 (НЕ/НИ слитно и раздельно)	(НЕ)ВСЕ спешили откликнуться на просьбу.	не все
14	№12 (НЕ/НИ слитно и раздельно)	Я (НЕ)СРАЗУ поняла, откуда слышны звуки.	не сразу
15	№12 (НЕ/НИ слитно и раздельно)	Ученику (НЕ)ХВАТАЛО терпения.	не хватало
16	№12 (НЕ/НИ слитно и раздельно)	(НЕ)КТО чужой прошёл через калитку и свернул к дому.	некто
17	№12 (НЕ/НИ слитно и раздельно)	Явление затмения Луны отмечали (НЕ)РАЗ.	не раз
18	№12 (НЕ/НИ слитно и раздельно)	(НЕ)ТОЛЬКО театр, но и кино интересовали народ.	не только
19	№12 (НЕ/НИ слитно и раздельно)	Прохожий шёл по улице (НЕ)СПЕША.	не спеша
20	№12 (НЕ/НИ слитно и раздельно)	(НЕ)КОГО было спросить, как проехать.	некого
21	№12 (НЕ/НИ слитно и раздельно)	(НЕ)ЗАЧЕМ думать о плохом.	незачем
22	№12 (НЕ/НИ слитно и раздельно)	Ты снова поступаешь (НЕ)ПО-БРАТСКИ	не по-братски
23	№12 (НЕ/НИ слитно и раздельно)	Мне НЕ(О)ЧЕМ с вами говорить.	не о чем
24	№12 (НЕ/НИ слитно и раздельно)	Я прямо (НЕ)ГОДОВАЛ от этот возмутительной лжи.	негодовал
